ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.94.133.90","elite","AS136128","ID","PT CITRA AKSES INDONUSA","197","PT CITRA AKSES INDONUSA","4153","socks4","4203","1","2023-08-27T07:50:03.140Z","97","3517","3628"
"79.63.3.243","elite","AS3269","IT","Telecom Italia S.p.A","75","INTERBUSINESS","5678","socks4","4799","1","2023-08-27T07:50:03.235Z","84","2970","3538"
"115.242.248.226","elite","AS55836","IN","Reliance Jio Infocomm Limited","187","Reliance Jio Infocomm Limited","5678","socks4","4403","1","2023-08-27T07:49:58.143Z","92","3290","3587"
"43.157.51.43","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","10","Tencent Cloud Computing","443","socks4","5002","1","2023-08-27T07:49:58.240Z","34","1197","3570"
"43.130.199.254","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","94","Tencent Cloud Computing","443","socks4","4999","1","2023-08-27T07:49:58.144Z","29","1029","3585"
"103.47.93.197","elite","AS134058","IN","Broban Internet Services Pvt.ltd","189","Broban  PVT Ltd.","1080","socks4","5104","1","2023-08-27T07:49:58.146Z","99","3462","3484"
"186.126.17.219","elite","AS7303","AR","Telecom Argentina S.A.","332","Telecom Personal Bs","1080","socks5","3002","1","2023-08-27T07:49:58.141Z","46","1665","3637"
"104.16.108.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4903","1","2023-08-27T07:49:53.255Z","100","3562","3562"
"110.78.186.200","elite","AS131090","TH","CAT-BB","202","N/A","4145","socks4","4997","1","2023-08-27T07:49:53.334Z","64","2247","3506"
"103.229.85.209","elite","AS133443","BD","Ashfakur Rahman Chowdhury","200","N/A","4145","socks4","3197","1","2023-08-27T07:49:53.252Z","99","3519","3570"
"51.89.45.60","elite","AS16276","GB","OVH SAS","11","Lab Vibrant","44469","socks5","4792","1","2023-08-27T07:49:53.434Z","100","3593","3594"
"89.219.34.146","elite","AS48716","KZ","PS Internet Company LLC","99","Pskz Hosting","10043","socks4","1086","2","2023-08-27T07:49:53.250Z","100","3510","3519"
"91.226.240.58","elite","AS203877","RS","Astra Telekom DOO Beograd","42","Astra Telekom DOO Beograd","6666","socks4","5292","1","2023-08-27T07:49:53.350Z","99","3462","3511"
"38.127.172.42","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","46656","socks5","4504","1","2023-08-27T07:49:47.851Z","100","3563","3568"
"51.91.151.47","elite","AS16276","FR","OVH SAS","8","OVH","53341","socks5","4006","1","2023-08-27T07:49:47.855Z","100","3580","3580"
"104.16.72.45","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4882","1","2023-08-27T07:49:47.741Z","100","3502","3502"
"51.83.35.125","elite","AS16276","FR","OVH SAS","8","OVH","13493","socks5","4500","1","2023-08-27T07:49:47.854Z","100","3596","3604"
"177.36.185.178","elite","AS53062","BR","Ggnet Telecom Backbone","291","Ggnet Telecom Backbone","5678","socks4","3406","1","2023-08-27T07:49:47.745Z","91","3276","3586"
"201.76.122.177","elite","AS262794","BR","Vero S.A","299","Vero S.A","20183","socks4","3598","1","2023-08-27T07:49:47.749Z","82","2914","3565"
"159.192.232.226","elite","AS131090","TH","CAT-BB","171","N/A","52335","socks5","4897","1","2023-08-27T07:49:42.541Z","82","2904","3558"
"91.193.237.180","elite","AS42916","RU","NKOORT","53","IT Ltd","3389","socks4","4913","1","2023-08-27T07:49:42.544Z","99","3533","3552"
"139.180.144.210","elite","AS20473","SG","Choopa","195","N/A","50697","socks4","5100","1","2023-08-27T07:49:42.652Z","100","3639","3652"
"36.251.170.169","elite","AS4837","CN","China Unicom Fujian Province Network","203","N/A","44844","socks5","5091","1","2023-08-27T07:49:42.545Z","64","2248","3523"
"177.38.5.234","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","214","FÁBIO MENDES DIAS LTDA ME","4153","socks4","5008","1","2023-08-27T07:49:42.549Z","96","3392","3520"
